IDTimbratura_Timb,Tag_Timb,CodDip_Timb,TimeIn_Timb,TimeOut_Timb,OraIn_Timb,MinIn_Timb,OraInRic_Timb,MinInRic_Timb,OraOut_Timb,MinOut_Timb,OraOutRic_Timb,MinOutRic_Timb,OreLav_Timb,MinLav_Timb,Export_Timb,Omessa_Timb,InserMan_Timb,Validata_Timb,BollatriceNum_Timb
458,d4531d04,1008,2023-09-20 08:57:33,2023-09-20 18:27:51,8.0,57.0,9,0,18.0,27.0,18,30,8.5,0,False,False,False,True,1
453,d4531d04,1008,2023-09-19 09:04:11,2023-09-19 18:24:00,9.0,4.0,9,0,18.0,24.0,18,30,8.5,0,False,False,False,True,1
447,d4531d04,1008,2023-09-18 08:55:07,2023-09-18 18:03:41,8.0,55.0,9,0,18.0,3.0,18,0,8.0,0,False,False,False,True,1
442,d4531d04,1008,2023-09-15 08:51:54,2023-09-15 18:10:09,8.0,51.0,9,0,18.0,10.0,18,0,8.0,0,False,False,False,True,1
439,d4531d04,1008,2023-09-14 08:48:34,2023-09-14 17:50:36,8.0,48.0,9,0,17.0,50.0,18,0,8.0,0,False,False,False,True,1
430,d4531d04,1008,2023-09-12 08:54:28,2023-09-12 17:51:28,8.0,54.0,9,0,17.0,51.0,18,0,8.0,0,False,False,False,True,1
425,d4531d04,1008,2023-09-11 08:47:14,2023-09-11 18:01:07,8.0,47.0,9,0,18.0,1.0,18,0,8.0,0,False,False,False,True,1
413,d4531d04,1008,2023-09-07 08:37:06,2023-09-07 18:10:33,8.0,37.0,8,30,18.0,10.0,18,0,8.5,0,False,False,False,True,1
407,d4531d04,1008,2023-09-06 08:05:00,2023-09-06 18:14:31,8.0,5.0,8,0,18.0,14.0,18,0,9.0,0,False,False,False,True,1
401,d4531d04,1008,2023-09-05 08:45:17,2023-09-05 18:08:38,8.0,45.0,9,0,18.0,8.0,18,0,8.0,0,False,False,False,True,1
396,d4531d04,1008,2023-09-04 10:09:21,2023-09-04 17:45:38,10.0,9.0,10,0,17.0,45.0,18,0,7.0,0,False,False,False,True,1
390,d4531d04,1008,2023-09-01 08:28:07,2023-09-01 18:00:07,8.0,28.0,8,30,18.0,0.0,18,0,8.5,0,False,True,False,True,1
335,d4531d04,1008,2023-07-28 17:41:59,,17.0,41.0,17,30,,,0,0,0.0,0,False,True,False,True,1
303,d4531d04,1008,2023-07-20 08:48:15,,8.0,48.0,9,0,,,0,0,0.0,0,False,True,False,True,1
298,d4531d04,1008,2023-07-03 08:58:29,,8.0,58.0,9,0,,,0,0,0.0,0,False,True,False,True,1
297,d4531d04,1008,2023-06-30 08:41:22,,8.0,41.0,8,30,,,0,0,0.0,0,False,True,False,True,1
295,d4531d04,1008,2023-06-28 08:53:46,,8.0,53.0,9,0,,,0,0,0.0,0,False,True,False,True,1
294,d4531d04,1008,2023-06-26 09:42:58,2023-06-26 17:49:37,9.0,42.0,9,30,17.0,49.0,18,0,7.5,0,False,False,False,True,1
293,d4531d04,1008,2023-06-20 07:59:00,2023-06-20 16:44:33,7.0,59.0,8,0,16.0,44.0,16,30,7.5,0,False,False,False,True,1
292,d4531d04,1008,2023-06-19 07:56:10,2023-06-19 17:02:52,7.0,56.0,8,0,17.0,2.0,17,0,8.0,0,False,False,False,True,1
287,d4531d04,1008,2023-06-12 07:55:09,2023-06-12 18:35:06,7.0,55.0,8,30,18.0,35.0,18,30,9.0,0,False,False,False,True,1
279,d4531d04,1008,2023-06-07 09:02:53,2023-06-06 18:01:03,9.0,2.0,9,0,18.0,1.0,0,0,0.0,0,False,False,False,False,1
275,d4531d04,1008,2023-06-06 09:00:00,2023-06-06 18:08:10,9.0,0.0,9,0,18.0,8.0,18,0,8.0,0,False,False,False,True,1
267,d4531d04,1008,2023-06-01 09:06:03,2023-06-01 18:12:53,9.0,6.0,9,0,18.0,12.0,18,0,8.0,0,False,False,False,True,1
